trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",20,5,18.61844414755064,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",30,22,14.518404924341489,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",20,14,9.769431910910527,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",35,21,-42.05687984332601,"{0: 9, 1: 0, 2: 4, 3: 1, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",25,15,20.035526323103163,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.17981297767299936}",35,18,-50.82336799820474,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",25,14,6.374050856447212,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",20,0,22.049251511155795,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",20,13,-7.585068765737638,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.14033160584673673}",20,7,4.386991689253877,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.13042370873814554}",20,10,14.687289005467747,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.12050276936736662}",30,18,20.984054663985013,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.11056977982006959}",20,7,20.48583857135742,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.10062573338693173}",20,8,21.434856619075802,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.09067162446430968}",25,19,9.534982821387981,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
